date;region;cases
2020-06-07;AT-7;0
2020-06-07;AT-8;1
2020-06-07;AT-9;21
2020-06-08;AT-1;0
2020-06-08;AT-2;0
2020-06-08;AT-3;6
2020-06-08;AT-4;1
2020-06-08;AT-5;0
2020-06-08;AT-6;0
2020-06-08;AT-7;1
2020-06-08;AT-8;0
2020-06-08;AT-9;16
2020-06-09;AT-1;0
2020-06-09;AT-2;0
2020-06-09;AT-3;1
2020-06-09;AT-4;4
2020-06-09;AT-5;1
2020-06-09;AT-6;1
2020-06-09;AT-7;1
2020-06-09;AT-8;1
2020-06-09;AT-9;6
2020-06-10;AT-1;0
2020-06-10;AT-2;0
2020-06-10;AT-3;2
2020-06-10;AT-4;9
2020-06-10;AT-5;0
2020-06-10;AT-6;0
2020-06-10;AT-7;0
2020-06-10;AT-8;0
2020-06-10;AT-9;23
2020-06-11;AT-1;0
2020-06-11;AT-2;0
2020-06-11;AT-3;6
2020-06-11;AT-4;0
2020-06-11;AT-5;0
2020-06-11;AT-6;0
2020-06-11;AT-7;0
2020-06-11;AT-8;0
2020-06-11;AT-9;16
2020-06-12;AT-1;0
2020-06-12;AT-2;0
2020-06-12;AT-3;12
2020-06-12;AT-4;2
2020-06-12;AT-5;0
2020-06-12;AT-6;0
2020-06-12;AT-7;0
2020-06-12;AT-8;0
2020-06-12;AT-9;23
2020-06-13;AT-1;0
2020-06-13;AT-2;0
2020-06-13;AT-3;5
2020-06-13;AT-4;0
2020-06-13;AT-5;0
2020-06-13;AT-6;0
2020-06-13;AT-7;0
2020-06-13;AT-8;0
2020-06-13;AT-9;17
2020-06-14;AT-1;0
2020-06-14;AT-2;1
2020-06-14;AT-3;2
2020-06-14;AT-4;0
2020-06-14;AT-5;0
2020-06-14;AT-6;0
2020-06-14;AT-7;1
2020-06-14;AT-8;0
2020-06-14;AT-9;14
2020-06-15;AT-1;0
2020-06-15;AT-2;0
2020-06-15;AT-3;5
2020-06-15;AT-4;0
2020-06-15;AT-5;0
2020-06-15;AT-6;3
2020-06-15;AT-7;0
